gameFF50,20715406
gameFF51,6288423101
gameFF52,1408566
gameFF53,4299501
gameFF54,29695880
gameFF55,7457633
gameFF56,480916207
gameFF57,169365719
gameFF58,6796605
gameFF59,10329544
gameFF60,267473609
gameFF61,1490853
gameFF62,206409492
gameFF63,136795202
gameFF64,29241653
gameFF65,203789439
gameFF66,120934348
gameFF67,20884496
gameFF68,19090302
gameFF69,28122392
gameFF70,391556
gameFF71,27125678
gameFF72,213712
gameFF73,3473444
gameFF74,143809764
gameFF75,37416916
gameFF76,170780492
gameFF77,385720314
gameFF78,590031602
gameFF79,477198198
gameFF80,1083849
gameFF81,1072885426
gameFF82,1338479
gameFF83,15275991
gameFF84,365341715
gameFF85,9527602
gameFF86,7517823
gameFF87,5385857
gameFF88,2638654
gameFF89,560359206
gameFF90,378789086
gameFF91,87137713
gameFF92,142376935
gameFF93,74835394
gameFF94,493292874
gameFF95,1935784514
gameFF96,1094915684
gameFF97,203191377
gameFF98,24921130
gameFF99,167965
