50,202771580
51,85292257449
52,4367472
53,10823653
54,3445363545
55,81243074
56,18201386708
57,105554749
58,47737789
59,65431177
60,1073714993
61,44252954
62,373837580
63,575551737
64,24641367
65,9258326986
66,29829226
67,33649774
68,88905642
69,33595287
70,912352
71,247337206
72,1017398
73,8016097
74,27786453
75,1348222
76,3402734031
77,90493295
78,2341770188
79,1382172790
80,3201824
81,230685978
82,1145025
83,18733033
84,263509541
85,4604088
86,14244522
87,2588723
88,1156411
89,82005214
90,1172033005
91,8036287
92,58713405
93,8327577
94,46196091
95,4695648
96,16346571
97,3059106
98,5570903
99,32517
