2.0,793129
2.25,2510105
2.5,489629
2.75,751673
3.0,2181338
3.25,276202
3.5,426867
3.75,866577
4.0,260630
4.25,720187
4.5,1200536
4.75,324493
5.0,3171558
5.25,457234
5.5,1356940
5.75,1770076
6.0,64190371
6.25,248100
6.5,3820452
6.75,3652459
7.0,10577748
7.25,268857
7.5,1514716
7.75,298934
8.0,4162173
8.25,1029458
8.5,1043667
8.75,5517159
9.0,383555
9.25,3862048
9.5,1113885
9.75,19302173
10.0,258975
10.25,37527027
10.5,122094
10.75,9609679
11.0,2751416
11.25,179193
11.5,162722
11.75,201417
12.0,1357704
12.25,209746
12.5,436985
12.75,189568
13.0,5691891
13.25,446839584
13.5,7229010
13.75,17228491
14.0,144347
14.25,494520
14.5,4212479
14.75,246030
15.0,367923
15.25,7975629
15.5,4204894
15.75,1273708
