50,4292,23976
51,174275,13190439
52,47708,202549
53,15328,279761
54,10259,231803
55,8834,96844
56,36230,648847
57,48597,1247472
58,7367,43158
59,158197,13408100
60,53938,652653
61,18205,177117
62,13882,275560
63,37055,4362116
64,8924,239232
65,8790,63004
66,71331,3183073
67,7064,623787
68,2558,178550
69,25177,433103
70,7873,1102840
71,5334,2536942
72,2810,698492
73,12172,2783566
74,96928,14944912
75,8131,1146979
76,485,2728960
77,9801,553729
78,1668,1232896
79,7976,900101
80,15420,1954837
81,734,12095
82,5243,8592591
83,718,35984
84,3090,152343
85,3469,7873072
86,2394,136390
87,9671,3010949
88,430,165888
89,905,130236
90,692,29736
91,924,427392
92,1606,6785600
93,1130,219392
94,682,259328
95,339,76352
96,638,134144
97,601,137600
98,407,381440
99,942,197248
