50,9688,34936
51,268843,15223459
52,36415,179506
53,16931,244286
54,12609,240754
55,11504,135615
56,70829,913569
57,71686,1533269
58,6181,40986
59,178552,15827415
60,84315,721433
61,16502,146018
62,21381,257835
63,56159,3301002
64,14894,234369
65,9552,59079
66,130434,4258604
67,27598,764906
68,3549,151138
69,24825,332747
70,20137,1127217
71,43124,3193754
72,20011,1015314
73,42061,3464951
74,88490,20428933
75,16679,1169523
76,7859,4099380
77,21606,533297
78,15331,2295834
79,11308,1117845
80,47297,2125830
81,1369,13858
82,33589,8602592
83,1068,37120
84,7633,159318
85,57241,10606223
86,8124,171833
87,63403,2794416
88,1042,178176
89,3440,152833
90,1952,37413
91,4146,494358
92,18319,10731826
93,4783,271976
94,5493,378442
95,1792,100194
96,2085,129265
97,3061,173224
98,1412,459431
99,4378,232817
