gameBC50,9688,34936
gameBC51,268843,15223459
gameBC52,36415,179506
gameBC53,16931,244286
gameBC54,12609,240754
gameBC55,11504,135615
gameBC56,70829,913569
gameBC57,71686,1533269
gameBC58,6181,40986
gameBC59,178552,15827415
gameBC60,84315,721433
gameBC61,16502,146018
gameBC62,21381,257835
gameBC63,56159,3301002
gameBC64,14894,234369
gameBC65,9552,59079
gameBC66,130434,4258604
gameBC67,27598,764906
gameBC68,3549,151138
gameBC69,24825,332747
gameBC70,20137,1127217
gameBC71,43124,3193754
gameBC72,20011,1015314
gameBC73,42061,3464951
gameBC74,88490,20428933
gameBC75,16679,1169523
gameBC76,7859,4099380
gameBC77,21606,533297
gameBC78,15331,2295834
gameBC79,11308,1117845
gameBC80,47297,2125830
gameBC81,1369,13858
gameBC82,33589,8602592
gameBC83,1068,37120
gameBC84,7633,159318
gameBC85,57241,10606223
gameBC86,8124,171833
gameBC87,63403,2794416
gameBC88,1042,178176
gameBC89,3440,152833
gameBC90,1952,37413
gameBC91,4146,494358
gameBC92,18319,10731826
gameBC93,4783,271976
gameBC94,5493,378442
gameBC95,1792,100194
gameBC96,2085,129265
gameBC97,3061,173224
gameBC98,1412,459431
gameBC99,4378,232817
