50,11198,31382
50,4292,23976
50,9688,34936
51,174275,13190439
51,268843,15223459
51,342674,15604618
52,36415,179506
52,38599,237016
52,47708,202549
53,15328,279761
53,16931,244286
53,23562,286664
54,10259,231803
54,12609,240754
54,14355,211827
55,11504,135615
55,8834,96844
55,9051,104795
56,36230,648847
56,69808,829881
56,70829,913569
57,48597,1247472
57,58444,1255292
57,71686,1533269
58,6181,40986
58,7252,39686
58,7367,43158
59,158197,13408100
59,178552,15827415
59,191333,17420939
60,53938,652653
60,84315,721433
60,90763,716183
61,16502,146018
61,18205,177117
61,18253,144603
62,13882,275560
62,21381,257835
62,28398,311858
63,37055,4362116
63,56159,3301002
63,57579,3807382
64,14894,234369
64,20971,264317
64,8924,239232
65,10203,64981
65,8790,63004
65,9552,59079
66,130434,4258604
66,145797,4507264
66,71331,3183073
67,26231,1010073
67,27598,764906
67,7064,623787
68,2558,178550
68,2742,148638
68,3549,151138
69,24825,332747
69,24996,347047
69,25177,433103
70,12200,948458
70,20137,1127217
70,7873,1102840
71,20209,2758643
71,43124,3193754
71,5334,2536942
72,20011,1015314
72,2810,698492
72,35813,1487627
73,12172,2783566
73,18297,2824592
73,42061,3464951
74,88490,20428933
74,89114,15886135
74,96928,14944912
75,16679,1169523
75,8109,1211316
75,8131,1146979
76,485,2728960
76,7859,4099380
76,836,2785280
77,19107,544105
77,21606,533297
77,9801,553729
78,15331,2295834
78,1668,1232896
78,23976,1873809
79,10732,1154332
79,11308,1117845
79,7976,900101
80,15420,1954837
80,25351,2201785
80,47297,2125830
81,1369,13858
81,234,10400
81,734,12095
82,33589,8602592
82,5243,8592591
82,9123,8070193
83,1068,37120
83,1981,52508
83,718,35984
84,3090,152343
84,4208,163811
84,7633,159318
85,3469,7873072
85,57241,10606223
85,8333,10015242
86,2394,136390
86,3039,172568
86,8124,171833
87,14187,2380168
87,63403,2794416
87,9671,3010949
88,1042,178176
88,430,165888
88,652,170888
89,1300,154389
89,3440,152833
89,905,130236
90,1952,37413
90,561,28206
90,692,29736
91,4146,494358
91,465,347629
91,924,427392
92,1606,6785600
92,1778,6966332
92,18319,10731826
93,1130,219392
93,1380,268511
93,4783,271976
94,5493,378442
94,678,255813
94,682,259328
95,1792,100194
95,339,76352
95,680,96745
96,2085,129265
96,538,130048
96,638,134144
97,3061,173224
97,601,137600
97,618,137147
98,1412,459431
98,380,371712
98,407,381440
99,4378,232817
99,844,194932
99,942,197248
