1,8186073368,2598089.50,2626154,94
2,35426095827,3842327.25,3877112,94
3a,0,-nan,7739007,
3b,0,-nan,7739007,
5,0,-nan,3633175,
6,0,-nan,7,1
7,0,-nan,7,1
