gameC1,2259,159644
gameC10,5182,11165
gameC11,2625,104061
gameC12,495,990
gameC13,8519,32066
gameC14,1583,3166
gameC15,997,1994
gameC16,2161,35814
gameC17,3850,29676
gameC18,155,620
gameC19,582,2328
gameC2,3554,3903
gameC20,1902,8869
gameC21,6434,25969
gameC22,5087,33131
gameC23,3070,46515
gameC24,688,1376
gameC25,1140,34140
gameC26,3955,9077
gameC27,4557,125433
gameC28,5222,221888
gameC29,3189,260246
gameC3,263,16832
gameC30,271,542
gameC31,1796,2075
gameC32,4313,37798
gameC33,251,16064
gameC34,9676,31198
gameC35,5088,9548
gameC36,3578,22232
gameC37,2857,13598
gameC38,68,544
gameC39,866,1732
gameC4,1159,2318
gameC40,5616,374861
gameC41,7346,122535
gameC42,3980,179278
gameC43,2475,29348
gameC44,3338,60532
gameC45,2340,2735
gameC46,1540,11846
gameC47,1356,3210
gameC48,187,1496
gameC49,1432,22912
gameC5,4633,9015
gameC6,2397,88167
gameC7,702,2808
gameC8,1048,23485
gameC9,1143,2286
gameF100,285,486
gameF50,464,559
gameF51,496,2788
gameF52,92,2944
gameF53,1818,5968
gameF54,8198,10060
gameF55,482,12448
gameF56,663,17059
gameF57,3644,34004
gameF58,313,2264
gameF59,7153,204691
gameF60,22186,137051
gameF61,9156,28640
gameF62,822,4786
gameF63,4901,8909
gameF64,15844,268349
gameF65,3105,3459
gameF66,727,79600
gameF67,1724,2824
gameF68,7673,101703
gameF69,966,2295
gameF70,1589,24774
gameF71,2911,11071
gameF72,8049,79478
gameF73,41035,69974
gameF74,479,499
gameF75,6991,10663
gameF76,1111,3788
gameF77,2876,43922
gameF78,8734,12637
gameF79,231,308
gameF80,5594,28713
gameF81,2449,155536
gameF82,145370,626130
gameF83,18626,27457
gameF84,1799,55759
gameF85,1146,2264
gameF86,2671,7130
gameF87,1485,31122
gameF88,18275,24147
gameF89,32717,55467
gameF90,5604,13081
gameF91,7418,29776
gameF92,278,552
gameF93,2825,104715
gameF94,11342,59812
gameF95,50477,94721
gameF96,16977,35111
gameF97,119763,212466
gameF98,3803,18510
gameF99,206,699
