game_scaleconfs_10a: 337,291072
game_scaleconfs_10b: 1280,912224
game_scaleconfs_10c: 183,142336
game_scaleconfs_10d: 2331,886096
game_scaleconfs_11a: 819,1204192
game_scaleconfs_11b: 430,573312
game_scaleconfs_11c: 211,295936
game_scaleconfs_11d: 231,381952
game_scaleconfs_12a: 964,1023680
game_scaleconfs_12b: 244,868352
game_scaleconfs_12c: 542,1749504
game_scaleconfs_12d: 246,851968
game_scaleconfs_13a: 1192,4929408
game_scaleconfs_13b: 1328,7108608
game_scaleconfs_13c: 673,4333568
game_scaleconfs_13d: 1889,7909376
game_scaleconfs_14a: 386,5275648
game_scaleconfs_14b: 1021,10480128
game_scaleconfs_14c: 1911,11582904
game_scaleconfs_14d: 253,3130368
game_scaleconfs_15a: 395,10182656
game_scaleconfs_15b: 413,7442432
game_scaleconfs_15c: 745,17596416
game_scaleconfs_15d: 725,17485824
game_scaleconfs_2a: 861,2745
game_scaleconfs_2b: 759,2497
game_scaleconfs_2c: 715,2345
game_scaleconfs_2d: 765,2495
game_scaleconfs_3a: 1143,7524
game_scaleconfs_3b: 397,2604
game_scaleconfs_3c: 595,4034
game_scaleconfs_3d: 451,2826
game_scaleconfs_4a: 601,6070
game_scaleconfs_4b: 819,11016
game_scaleconfs_4c: 1128,13826
game_scaleconfs_4d: 271,3888
game_scaleconfs_5a: 587,14944
game_scaleconfs_5b: 423,9664
game_scaleconfs_5c: 875,23168
game_scaleconfs_5d: 715,19520
game_scaleconfs_6a: 1735,76482
game_scaleconfs_6b: 307,15424
game_scaleconfs_6c: 1181,42532
game_scaleconfs_6d: 1870,39226
game_scaleconfs_7a: 213,23072
game_scaleconfs_7b: 455,38464
game_scaleconfs_7c: 568,59136
game_scaleconfs_7d: 456,44552
game_scaleconfs_8a: 907,197760
game_scaleconfs_8b: 574,100592
game_scaleconfs_8c: 727,145536
game_scaleconfs_8d: 1084,214592
game_scaleconfs_9a: 665,285824
game_scaleconfs_9b: 1165,333944
game_scaleconfs_9c: 796,308480
game_scaleconfs_9d: 2749,527936
