gameFC50: 11198,31382
gameFC51: 342674,15604618
gameFC52: 38599,237016
gameFC53: 23562,286664
gameFC54: 14355,211827
gameFC55: 9051,104795
gameFC56: 69808,829881
gameFC57: 58444,1255292
gameFC58: 7252,39686
gameFC59: 191333,17420939
gameFC60: 90763,716183
gameFC61: 18253,144603
gameFC62: 28398,311858
gameFC63: 57579,3807382
gameFC64: 20971,264317
gameFC65: 10203,64981
gameFC66: 145797,4507264
gameFC67: 26231,1010073
gameFC68: 2742,148638
gameFC69: 24996,347047
gameFC70: 12200,948458
gameFC71: 20209,2758643
gameFC72: 35813,1487627
gameFC73: 18297,2824592
gameFC74: 89114,15886135
gameFC75: 8109,1211316
gameFC76: 836,2785280
gameFC77: 19107,544105
gameFC78: 23976,1873809
gameFC79: 10732,1154332
gameFC80: 25351,2201785
gameFC81: 234,10400
gameFC82: 9123,8070193
gameFC83: 1981,52508
gameFC84: 4208,163811
gameFC85: 8333,10015242
gameFC86: 3039,172568
gameFC87: 14187,2380168
gameFC88: 652,170888
gameFC89: 1300,154389
gameFC90: 561,28206
gameFC91: 465,347629
gameFC92: 1778,6966332
gameFC93: 1380,268511
gameFC94: 678,255813
gameFC95: 680,96745
gameFC96: 538,130048
gameFC97: 618,137147
gameFC98: 380,371712
gameFC99: 844,194932
