2.0,1221726
2.25,1122385
2.5,335840
2.75,472064
3.0,5498123
3.25,314695
3.5,1111351
3.75,6665386
4.0,1226083
4.25,4582422
4.5,3885753
4.75,1623997
5.0,32555541
5.25,4824165
5.5,28753541
5.75,45750097
6.0,1585701822
6.25,4087830
6.5,67935102
6.75,230142028
7.0,4958423
7.25,9922013
7.5,71667973
7.75,10286904
8.0,630285925
8.25,43198190
8.5,173030340
8.75,562239159
9.0,30276466
9.25,359964972
9.5,273467268
9.75,6883883355
10.0,124974115
10.25,13847918176
10.5,13333751
10.75,8027709909
11.0,2840919689
11.25,123803546
11.5,32688601
11.75,111654487
12.0,1491764149
12.25,103405101
12.5,588127372
12.75,195841903
13.0,35425294690
13.25,34923642069
13.5,21415153714
13.75,27084473000
14.0,403123418
14.25,2700289123
14.5,9553674124
14.75,789869555
15.0,6135838701
15.25,1845041556
15.5,74896828066
15.75,20444306506
