gameBC75: 2858,20669
gameBC76: 4647,19812
gameBC77: 4466,307684
gameBC78: 4405,12455
gameBC79: 10443,1044305
gameBC80: 1254,12494
gameBC81: 3341,92815
gameBC82: 4135,193948
gameBC83: 2834,47539
gameBC84: 35660,2814126
gameBC85: 2190,142763
gameBC86: 4396,382754
gameBC87: 1263,143729
gameBC88: 20382,1505324
gameBC89: 674,14585
gameBC90: 5108,2295498
gameBC91: 3300,274935
gameBC92: 4056,85238
gameBC93: 5690,18323
gameBC94: 1123,10838
gameBC95: 1682,128067
gameBC96: 3465,327082
gameBC97: 2625,270775
gameBC98: 2115,32402
gameBC99: 1649,19452
gameFC75: 1827,20358
gameFC76: 2338,20056
gameFC77: 1379,248142
gameFC78: 2828,10828
gameFC79: 3257,829436
gameFC80: 723,11713
gameFC81: 1109,72240
gameFC82: 1449,173022
gameFC83: 1064,37351
gameFC84: 12918,2239429
gameFC85: 581,100504
gameFC86: 1124,360962
gameFC87: 422,119271
gameFC88: 4684,1365533
gameFC89: 278,13440
gameFC90: 1300,1884029
gameFC91: 1046,217417
gameFC92: 794,63109
gameFC93: 2285,16072
gameFC94: 470,10240
gameFC95: 272,98554
gameFC96: 1145,254592
gameFC97: 935,219904
gameFC98: 1042,31936
gameFC99: 534,16608
gameFF75: 2411,26912
gameFF76: 1527,15341
gameFF77: 1123,249460
gameFF78: 3689,13876
gameFF79: 2504,827348
gameFF80: 563,10014
gameFF81: 978,70968
gameFF82: 1102,146936
gameFF83: 1159,38672
gameFF84: 5298,2323218
gameFF85: 791,126528
gameFF86: 413,270848
gameFF87: 313,116608
gameFF88: 2458,1080372
gameFF89: 306,14800
gameFF90: 1183,1810944
gameFF91: 1085,218112
gameFF92: 584,62176
gameFF93: 2456,15726
gameFF94: 370,10240
gameFF95: 254,98304
gameFF96: 1120,253056
gameFF97: 965,224640
gameFF98: 1101,33088
gameFF99: 617,17552
