gameBC75: 15966,94
gameBC76: 2242,94
gameBC77: 240356,1534
gameBC78: 1954,46
gameBC79: 691754,3070
gameBC80: 11594,94
gameBC81: 88838,382
gameBC82: 277546,766
gameBC83: 42896,190
gameBC84: 424358,6142
gameBC85: 147430,766
gameBC86: 263160,3070
gameBC87: 166756,1534
gameBC88: 903678,3070
gameBC89: 22878,190
gameBC90: 2913428,6142
gameBC91: 350710,766
gameBC92: 56626,382
gameBC93: 6024,46
gameBC94: 10000,94
gameBC95: 120074,1458
gameBC96: 398108,766
gameBC97: 356266,766
gameBC98: 49560,94
gameBC99: 25314,94
gameFC75: 29816,94
gameFC76: 6244,94
gameFC77: 403334,1534
gameFC78: 3302,46
gameFC79: 1176266,3070
gameFC80: 15864,94
gameFC81: 130092,382
gameFC82: 416322,766
gameFC83: 59680,190
gameFC84: 990132,6142
gameFC85: 196466,766
gameFC86: 396646,3066
gameFC87: 230638,1526
gameFC88: 1514950,3070
gameFC89: 28492,188
gameFC90: 3493516,6142
gameFC91: 405288,766
gameFC92: 117072,382
gameFC93: 18672,46
gameFC94: 20120,88
gameFC95: 160606,1504
gameFC96: 442182,760
gameFC97: 377068,746
gameFC98: 47200,82
gameFC99: 29196,84
gameFF75: 34386,94
gameFF76: 15924,82
gameFF77: 450232,1534
gameFF78: 6534,46
gameFF79: 1289408,3070
gameFF80: 15760,86
gameFF81: 132404,382
gameFF82: 447712,766
gameFF83: 62792,190
gameFF84: 1773274,5246
gameFF85: 197120,766
gameFF86: 352220,2302
gameFF87: 94976,606
gameFF88: 1767988,3070
gameFF89: 19200,126
gameFF90: 2415496,4094
gameFF91: 341340,638
gameFF92: 83552,254
gameFF93: 25302,46
gameFF94: 0,2
gameFF95: 6656,62
gameFF96: 146988,254
gameFF97: 62952,126
gameFF98: 7068,14
gameFF99: 32844,94
