gameC1: 17252236
gameC10: 1118787241
gameC11: 5437766146
gameC12: 16621269945
gameC13: 937817
gameC14: 7518542
gameC15: 2322538
gameC16: 314770420
gameC17: 3679404137
gameC18: 1690786809
gameC19: 724791068
gameC2: 194944679
gameC20: 224881
gameC3: 348382339
gameC4: 9279553975
gameC5: 82373277
gameC6: 912155752
gameC7: 52221257362
gameC8: 32165722
gameC9: 860673
gameF1: 13860117
gameF10: 929663073
gameF11: 5603725126
gameF12: 14141874488
gameF13: 1276154
gameF14: 6101894
gameF15: 3250645
gameF16: 268469610
gameF17: 2972431394
gameF18: 1914434829
gameF19: 703981281
gameF2: 190597043
gameF20: 186604
gameF3: 519593588
gameF4: 9092589384
gameF5: 65441174
gameF6: 893131683
gameF7: 48852566128
gameF8: 29032826
gameF9: 1317020
