gameFF50: 20905717
gameFF51: 99789962464
gameFF52: 295229029
gameFF53: 226813810
gameFF54: 102760641
gameFF55: 61759598
gameFF56: 1006038207
gameFF57: 1029544910
gameFF58: 45694704
gameFF59: 55360080656
gameFF60: 858371204
gameFF61: 116188403
gameFF62: 118269382
gameFF63: 587010523
gameFF64: 77923266
gameFF65: 47381053
gameFF66: 3720076233
gameFF67: 67601965
gameFF68: 24468242
gameFF69: 190546428
gameFF70: 64753867
gameFF71: 73496641
gameFF72: 21405249
gameFF73: 223348376
gameFF74: 9911955532
gameFF75: 60485292
gameFF76: 406414
gameFF77: 30402734
gameFF78: 2447405
gameFF79: 36629918
gameFF80: 191546014
gameFF81: 1964846
gameFF82: 27962514
gameFF83: 502981
gameFF84: 7306342
gameFF85: 10731357
gameFF86: 5097212
gameFF87: 38874845
gameFF88: 312418
gameFF89: 1659028
gameFF90: 1582471
gameFF91: 1675275
gameFF92: 2458502
gameFF93: 1944962
gameFF94: 929327
gameFF95: 363836
gameFF96: 631120
gameFF97: 642069
gameFF98: 758872
gameFF99: 875189
