gameBC50: 136556033
gameBC51: 36507220998
gameBC52: 3313925
gameBC53: 6821058
gameBC54: 1742951911
gameBC55: 75711339
gameBC56: 15763379590
gameBC57: 57252336
gameBC58: 44878245
gameBC59: 69754642
gameBC60: 1792610420
gameBC61: 43232763
gameBC62: 889723099
gameBC63: 691620014
gameBC64: 59568202
gameBC65: 12383166294
gameBC66: 96249389
gameBC67: 53606178
gameBC68: 386686147
gameBC69: 86865845
gameBC70: 329505
gameBC71: 277223349
gameBC72: 992797
gameBC73: 14837991
gameBC74: 76712306
gameBC75: 9734143
gameBC76: 11627779415
gameBC77: 414721386
gameBC78: 6413826884
gameBC79: 5931527685
gameBC80: 5962704
gameBC81: 1046228509
gameBC82: 3105238
gameBC83: 47268526
gameBC84: 1192058960
gameBC85: 3327481
gameBC86: 24712157
gameBC87: 18135895
gameBC88: 4466311
gameBC89: 579281233
gameBC90: 5432643684
gameBC91: 78932780
gameBC92: 744988497
gameBC93: 73713132
gameBC94: 232290929
gameBC95: 98273438
gameBC96: 429448153
gameBC97: 14449629
gameBC98: 15714123
gameBC99: 31156
