game_scaleconfs_10a: 4075846
game_scaleconfs_10b: 257459
game_scaleconfs_10c: 24952006
game_scaleconfs_10d: 9036516
game_scaleconfs_11a: 984067
game_scaleconfs_11b: 10536032
game_scaleconfs_11c: 667409
game_scaleconfs_11d: 1098736
game_scaleconfs_12a: 17336434
game_scaleconfs_12b: 32979544
game_scaleconfs_12c: 347797
game_scaleconfs_12d: 11468573
game_scaleconfs_2a: 1059938
game_scaleconfs_2b: 1543706
game_scaleconfs_2c: 6459965
game_scaleconfs_2d: 333182
game_scaleconfs_3a: 27676504
game_scaleconfs_3b: 1494230
game_scaleconfs_3c: 35962009
game_scaleconfs_3d: 1145035
game_scaleconfs_4a: 2723232
game_scaleconfs_4b: 732545
game_scaleconfs_4c: 47002
game_scaleconfs_4d: 2404292
game_scaleconfs_5a: 1469508
game_scaleconfs_5b: 28621347
game_scaleconfs_5c: 567841
game_scaleconfs_5d: 84527232
game_scaleconfs_6a: 1578786
game_scaleconfs_6b: 7273517
game_scaleconfs_6c: 1417198
game_scaleconfs_6d: 652648
game_scaleconfs_7a: 2722046
game_scaleconfs_7b: 1110063
game_scaleconfs_7c: 222409
game_scaleconfs_7d: 617824
game_scaleconfs_8a: 18031082
game_scaleconfs_8b: 982125
game_scaleconfs_8c: 643204
game_scaleconfs_8d: 9989924
game_scaleconfs_9a: 52293034
game_scaleconfs_9b: 806681
game_scaleconfs_9c: 291481
game_scaleconfs_9d: 8360015
