gameFF50,4292,23976
gameFF51,174275,13190439
gameFF52,47708,202549
gameFF53,15328,279761
gameFF54,10259,231803
gameFF55,8834,96844
gameFF56,36230,648847
gameFF57,48597,1247472
gameFF58,7367,43158
gameFF59,158197,13408100
gameFF60,53938,652653
gameFF61,18205,177117
gameFF62,13882,275560
gameFF63,37055,4362116
gameFF64,8924,239232
gameFF65,8790,63004
gameFF66,71331,3183073
gameFF67,7064,623787
gameFF68,2558,178550
gameFF69,25177,433103
gameFF70,7873,1102840
gameFF71,5334,2536942
gameFF72,2810,698492
gameFF73,12172,2783566
gameFF74,96928,14944912
gameFF75,8131,1146979
gameFF76,485,2728960
gameFF77,9801,553729
gameFF78,1668,1232896
gameFF79,7976,900101
gameFF80,15420,1954837
gameFF81,734,12095
gameFF82,5243,8592591
gameFF83,718,35984
gameFF84,3090,152343
gameFF85,3469,7873072
gameFF86,2394,136390
gameFF87,9671,3010949
gameFF88,430,165888
gameFF89,905,130236
gameFF90,692,29736
gameFF91,924,427392
gameFF92,1606,6785600
gameFF93,1130,219392
gameFF94,682,259328
gameFF95,339,76352
gameFF96,638,134144
gameFF97,601,137600
gameFF98,407,381440
gameFF99,942,197248
