gameBC50,9688,34936
gameBC51,268843,15223459
gameBC52,36415,179506
gameBC53,16931,244286
gameBC54,12609,240754
gameBC55,11504,135615
gameBC56,70829,913569
gameBC57,71686,1533269
gameBC58,6181,40986
gameBC59,178552,15827415
gameBC60,84315,721433
gameBC61,16502,146018
gameBC62,21381,257835
gameBC63,56159,3301002
gameBC64,14894,234369
gameBC65,9552,59079
gameBC66,130434,4258604
gameBC67,27598,764906
gameBC68,3549,151138
gameBC69,24825,332747
gameBC70,20137,1127217
gameBC71,43124,3193754
gameBC72,20011,1015314
gameBC73,42061,3464951
gameBC74,88490,20428933
gameBC75,16679,1169523
gameBC76,7859,4099380
gameBC77,21606,533297
gameBC78,15331,2295834
gameBC79,11308,1117845
gameBC80,47297,2125830
gameBC81,1369,13858
gameBC82,33589,8602592
gameBC83,1068,37120
gameBC84,7633,159318
gameBC85,57241,10606223
gameBC86,8124,171833
gameBC87,63403,2794416
gameBC88,1042,178176
gameBC89,3440,152833
gameBC90,1952,37413
gameBC91,4146,494358
gameBC92,18319,10731826
gameBC93,4783,271976
gameBC94,5493,378442
gameBC95,1792,100194
gameBC96,2085,129265
gameBC97,3061,173224
gameBC98,1412,459431
gameBC99,4378,232817
gameFC50,11198,31382
gameFC51,342674,15604618
gameFC52,38599,237016
gameFC53,23562,286664
gameFC54,14355,211827
gameFC55,9051,104795
gameFC56,69808,829881
gameFC57,58444,1255292
gameFC58,7252,39686
gameFC59,191333,17420939
gameFC60,90763,716183
gameFC61,18253,144603
gameFC62,28398,311858
gameFC63,57579,3807382
gameFC64,20971,264317
gameFC65,10203,64981
gameFC66,145797,4507264
gameFC67,26231,1010073
gameFC68,2742,148638
gameFC69,24996,347047
gameFC70,12200,948458
gameFC71,20209,2758643
gameFC72,35813,1487627
gameFC73,18297,2824592
gameFC74,89114,15886135
gameFC75,8109,1211316
gameFC76,836,2785280
gameFC77,19107,544105
gameFC78,23976,1873809
gameFC79,10732,1154332
gameFC80,25351,2201785
gameFC81,234,10400
gameFC82,9123,8070193
gameFC83,1981,52508
gameFC84,4208,163811
gameFC85,8333,10015242
gameFC86,3039,172568
gameFC87,14187,2380168
gameFC88,652,170888
gameFC89,1300,154389
gameFC90,561,28206
gameFC91,465,347629
gameFC92,1778,6966332
gameFC93,1380,268511
gameFC94,678,255813
gameFC95,680,96745
gameFC96,538,130048
gameFC97,618,137147
gameFC98,380,371712
gameFC99,844,194932
gameFF50,4292,23976
gameFF51,174275,13190439
gameFF52,47708,202549
gameFF53,15328,279761
gameFF54,10259,231803
gameFF55,8834,96844
gameFF56,36230,648847
gameFF57,48597,1247472
gameFF58,7367,43158
gameFF59,158197,13408100
gameFF60,53938,652653
gameFF61,18205,177117
gameFF62,13882,275560
gameFF63,37055,4362116
gameFF64,8924,239232
gameFF65,8790,63004
gameFF66,71331,3183073
gameFF67,7064,623787
gameFF68,2558,178550
gameFF69,25177,433103
gameFF70,7873,1102840
gameFF71,5334,2536942
gameFF72,2810,698492
gameFF73,12172,2783566
gameFF74,96928,14944912
gameFF75,8131,1146979
gameFF76,485,2728960
gameFF77,9801,553729
gameFF78,1668,1232896
gameFF79,7976,900101
gameFF80,15420,1954837
gameFF81,734,12095
gameFF82,5243,8592591
gameFF83,718,35984
gameFF84,3090,152343
gameFF85,3469,7873072
gameFF86,2394,136390
gameFF87,9671,3010949
gameFF88,430,165888
gameFF89,905,130236
gameFF90,692,29736
gameFF91,924,427392
gameFF92,1606,6785600
gameFF93,1130,219392
gameFF94,682,259328
gameFF95,339,76352
gameFF96,638,134144
gameFF97,601,137600
gameFF98,407,381440
gameFF99,942,197248
