50,11198,31382
51,342674,15604618
52,38599,237016
53,23562,286664
54,14355,211827
55,9051,104795
56,69808,829881
57,58444,1255292
58,7252,39686
59,191333,17420939
60,90763,716183
61,18253,144603
62,28398,311858
63,57579,3807382
64,20971,264317
65,10203,64981
66,145797,4507264
67,26231,1010073
68,2742,148638
69,24996,347047
70,12200,948458
71,20209,2758643
72,35813,1487627
73,18297,2824592
74,89114,15886135
75,8109,1211316
76,836,2785280
77,19107,544105
78,23976,1873809
79,10732,1154332
80,25351,2201785
81,234,10400
82,9123,8070193
83,1981,52508
84,4208,163811
85,8333,10015242
86,3039,172568
87,14187,2380168
88,652,170888
89,1300,154389
90,561,28206
91,465,347629
92,1778,6966332
93,1380,268511
94,678,255813
95,680,96745
96,538,130048
97,618,137147
98,380,371712
99,844,194932
